Year,Open Price,High Price,Low Price,Close Price
2015,697.73,741.89,696.1,720.25
2016,415.81,441.2,395.11,423.5
2017,316.94,326.45,295.11,307.83
2018,476.19,497.87,453.67,454.52
2019,833.0,857.9,779.78,840.47
2020,1325.0,1384.46,1180.0,1243.71
2021,1908.0,1958.54,1816.31,1817.52
2022,1578.84,1754.56,1501.07,1502.76
2023,1928.16,1976.03,1795.01,1831.83
2024,2799.5,2950.0,2632.5,2881.0
2025,2090.5,2113.0,1914.9999999999998,1959.5
